	BBP
2010-12-08	79.69760503258155
2010-12-09	92.52418440668764
2010-12-10	100.74016220598104
2010-12-13	95.75955119283259
2010-12-14	79.55237207718547
2010-12-15	67.19879445719027
2010-12-16	62.42275015359283
2010-12-17	55.71898634433504
2010-12-20	60.61412919404805
2010-12-21	77.94659973366592
2010-12-22	94.03770969360126
2010-12-23	87.82113934612411
2010-12-27	93.71161743022408
2010-12-28	88.73498594340946
2010-12-29	82.98564169731274
2010-12-30	78.69336462550784
2010-12-31	79.9873551436232
2011-01-03	97.61825114605253
2011-01-04	100.88172012566743
2011-01-05	102.58523474501101
2011-01-06	92.53386209432107
2011-01-07	75.8538620697028
2011-01-10	70.05784292228724
2011-01-11	71.20818640204766
2011-01-12	84.63658710601787
2011-01-13	77.95765567792763
2011-01-14	82.46053307345382
2011-01-18	78.69528919768355
2011-01-19	57.626371971493086
2011-01-20	78.95359538282416
2011-01-21	87.52673377855888
2011-01-24	78.83074278740646
2011-01-25	72.6339633676871
2011-01-26	73.26547272149448
2011-01-27	74.4755428934121
2011-01-28	56.59025909854708
2011-01-31	69.62754583560246
2011-02-01	102.84651358082712
2011-02-02	80.394121500991
2011-02-03	78.27594321638432
2011-02-04	45.60377192613904
2011-02-07	77.31443580758936
2011-02-08	85.16756756823908
2011-02-09	55.826204002534155
2011-02-10	74.16891854798236
2011-02-11	110.01486310073301
2011-02-14	99.1993920475287
2011-02-15	99.96527405525822
2011-02-16	119.97422895593826
2011-02-17	104.58912831284965
2011-02-18	99.48060896550736
2011-02-22	53.08173153661809
2011-02-23	50.87574492951678
2011-02-24	48.51146247617104
2011-02-25	65.41143500888099
2011-02-28	63.786438698377815
2011-03-01	34.12563519938537
2011-03-02	25.40661463886334
2011-03-03	47.104172658592994
2011-03-04	32.10388449325695
2011-03-07	21.352071960939252
2011-03-08	53.85574634251646
2011-03-09	57.188718652880965
2011-03-10	26.440172158047908
2011-03-11	32.35904414464143
2011-03-14	21.896691393697132
2011-03-15	8.393443894164438
2011-03-16	-1.8398443735574839
2011-03-17	17.917296684067356
2011-03-18	49.7117271552032
2011-03-21	49.76926617813657
2011-03-22	45.32157429885188
2011-03-23	50.23365795002475
2011-03-24	55.2342746756084
2011-03-25	61.70323506249665
2011-03-28	68.15643217256016
2011-03-29	69.09145056235062
2011-03-30	82.3608070214113
2011-03-31	69.04222142498519
2011-04-01	76.02160010131944
2011-04-04	81.11645895027279
2011-04-05	87.3071901982875
2011-04-06	110.46195513882049
2011-04-07	95.71119486692281
2011-04-08	78.27811554101508
2011-04-11	76.04039624512295
2011-04-12	68.63627221757476
2011-04-13	56.06383235805047
2011-04-14	11.856087251620554
2011-04-15	12.021972252254749
2011-04-18	-6.735889639391848
2011-04-19	14.684783250677807
2011-04-20	15.120416317818307
2011-04-21	20.193571459430856
2011-04-25	20.75576522389605
2011-04-26	34.0971744450687
2011-04-27	43.299822367057345
2011-04-28	52.086573683724914
2011-04-29	47.16075118569486
2011-05-02	37.44642850562275
2011-05-03	55.69242444049382
2011-05-04	46.748053841018724
2011-05-05	40.644129616972364
2011-05-06	39.13622695620281
2011-05-09	38.44632023235297
2011-05-10	47.80360774105629
2011-05-11	12.466195212774345
2011-05-12	8.948234095836586
2011-05-13	-13.738415098737978
2011-05-16	-8.42279685705126
2011-05-17	20.408446807521567
2011-05-18	29.799702751268658
2011-05-19	28.872375190847045
2011-05-20	9.098783796448346
2011-05-23	2.0108531829590155
2011-05-24	4.71458120661309
2011-05-25	8.972465963027297
2011-05-26	16.221712463591768
2011-05-27	25.74786251501188
2011-05-31	36.943265798895666
2011-06-01	8.740400120427973
