	EMA9X21
2010-05-06	-0.8611958788899443
2010-05-07	-1.0048123737938397
2010-05-10	-0.966627781473143
2010-05-11	-0.9627366637585837
2010-05-12	-0.9282206388069199
2010-05-13	-0.9778776999546821
2010-05-14	-1.0922123316993293
2010-05-17	-1.16096093057363
2010-05-18	-1.2749424401081555
2010-05-19	-1.296475493585838
2010-05-20	-1.4500181598680442
2010-05-21	-1.3040488597120472
2010-05-24	-1.323633934876554
2010-05-25	-1.279993372543899
2010-05-26	-1.2424367204375386
2010-05-27	-1.0212603058067629
2010-05-28	-0.9291090896060865
2010-06-01	-0.954288039830935
2010-06-02	-0.8494311301793545
2010-06-03	-0.8046364480658568
2010-06-04	-0.9112469256548366
2010-06-07	-1.0660318743440058
2010-06-08	-1.049038530220784
2010-06-09	-1.0863335793998772
2010-06-10	-0.9726148228137674
2010-06-11	-0.8929536394272617
2010-06-14	-0.89732816715658
2010-06-15	-0.7881945842841418
2010-06-16	-0.6672211679353808
2010-06-17	-0.5747455711738212
2010-06-18	-0.42067703587134275
2010-06-21	-0.3326148822718764
2010-06-22	-0.319249409067325
2010-06-23	-0.24481543929915262
2010-06-24	-0.2756849987532277
2010-06-25	-0.1469413147424916
2010-06-28	-0.14445606610300388
2010-06-29	-0.2938403204360469
2010-06-30	-0.44404995412488546
2010-07-01	-0.5954015067326708
2010-07-02	-0.7208316994159247
2010-07-06	-0.7465839904689062
2010-07-07	-0.5619204932261823
2010-07-08	-0.4163121226273674
2010-07-09	-0.230845814507731
2010-07-12	-0.055764030156943534
2010-07-13	0.20676388628285025
2010-07-14	0.3797521184884616
2010-07-15	0.510657157938212
2010-07-16	0.4438488746664291
2010-07-19	0.39155468911119584
2010-07-20	0.40858519617809463
2010-07-21	0.28699674320532864
2010-07-22	0.29044156389412734
2010-07-23	0.33784795050608807
2010-07-26	0.41854626894195235
2010-07-27	0.5067169320054532
2010-07-28	0.5234461972879032
2010-07-29	0.5140957320880872
2010-07-30	0.5055845622684387
2010-08-02	0.6320203558129052
2010-08-03	0.6535732901031963
2010-08-04	0.6791831824942562
2010-08-05	0.6832779554605892
2010-08-06	0.5876509184277268
2010-08-09	0.44305578388696176
2010-08-10	0.26220376269573364
2010-08-11	-0.02027413931053701
2010-08-12	-0.22098035641855063
2010-08-13	-0.3956579623803975
2010-08-16	-0.49586607649118264
2010-08-17	-0.581547139908281
2010-08-18	-0.590741601667844
2010-08-19	-0.6717786356444719
2010-08-20	-0.7108641397066648
2010-08-23	-0.753637885575408
2010-08-24	-0.8408617391967539
2010-08-25	-0.8879179647541591
2010-08-26	-0.9681785294367344
2010-08-27	-0.9074920577615728
2010-08-30	-0.9254020409476169
2010-08-31	-0.8681474461565983
2010-09-01	-0.6667232418330116
2010-09-02	-0.4644743070188966
2010-09-03	-0.20312100339010186
2010-09-07	-0.1020800370529713
2010-09-08	0.060533030047722036
2010-09-09	0.2802419328473533
2010-09-10	0.3989349179225954
2010-09-13	0.6198219085605388
2010-09-14	0.7277429579597623
2010-09-15	0.8202720310144684
2010-09-16	0.8737427744903599
2010-09-17	0.7996534465730036
2010-09-20	0.8490493272408699
2010-09-21	0.8062636163222052
2010-09-22	0.6928510335391493
2010-09-23	0.5104991363598472
2010-09-24	0.4362341359320041
2010-09-27	0.30447351496752617
2010-09-28	0.19002081763032663
2010-09-29	0.04660029560999135
2010-09-30	-0.0956437257795244
2010-10-01	-0.11880949177591305
2010-10-04	-0.113860785377355
2010-10-05	-0.036191530080635914
2010-10-06	0.048225956136619175
2010-10-07	0.06947092872851357
2010-10-08	0.06184052827300235
2010-10-11	0.0988031365185762
2010-10-12	0.19370679457865947
2010-10-13	0.2013875132663756
2010-10-14	0.0854937175253383
2010-10-15	-0.1639834742413342
2010-10-18	-0.2322580959945313
2010-10-19	-0.33114403734240483
2010-10-20	-0.35449483037099583
2010-10-21	-0.40648641020322884
2010-10-22	-0.43690780625933456
2010-10-25	-0.5176341341863306
2010-10-26	-0.552750842966212
2010-10-27	-0.5333311612976459
2010-10-28	-0.5116926444241869
2010-10-29	-0.47465203861759164
2010-11-01	-0.46090156096521184
2010-11-02	-0.49052118520047117
2010-11-03	-0.4235077994588252
2010-11-04	-0.14997974074746878
2010-11-05	0.17058575178347013
2010-11-08	0.355895459955363
2010-11-09	0.41983169389936137
2010-11-10	0.5339701968786486
